"""combined adjusted net income""","""one""","""two""","""three""","""four""","""five""","""six_plus"""
14975.0,1811.0,2699.0,3184.0,3557.0,3912.0,4253.0
15025.0,1814.0,2704.0,3190.0,3564.0,3920.0,4261.0
15075.0,1818.0,2709.0,3197.0,3571.0,3928.0,4270.0
15125.0,1821.0,2714.0,3203.0,3578.0,3936.0,4278.0
15175.0,1824.0,2719.0,3210.0,3585.0,3944.0,4287.0
15225.0,1827.0,2724.0,3216.0,3593.0,3952.0,4296.0
15275.0,1830.0,2729.0,3223.0,3600.0,3960.0,4304.0
15325.0,1833.0,2734.0,3229.0,3607.0,3968.0,4313.0
15375.0,1836.0,2739.0,3236.0,3614.0,3976.0,4321.0
15425.0,1839.0,2744.0,3242.0,3621.0,3983.0,4330.0
15475.0,1843.0,2749.0,3248.0,3629.0,3991.0,4339.0
15525.0,1846.0,2754.0,3255.0,3636.0,3999.0,4347.0
15575.0,1849.0,2759.0,3261.0,3643.0,4007.0,4356.0
15625.0,1852.0,2764.0,3268.0,3650.0,4015.0,4364.0
15675.0,1855.0,2769.0,3274.0,3657.0,4023.0,4373.0
15725.0,1858.0,2774.0,3281.0,3664.0,4031.0,4382.0
15775.0,1861.0,2779.0,3287.0,3672.0,4039.0,4390.0
15825.0,1864.0,2784.0,3294.0,3679.0,4047.0,4399.0
15875.0,1868.0,2789.0,3300.0,3686.0,4055.0,4407.0
15925.0,1871.0,2795.0,3306.0,3693.0,4063.0,4416.0
15975.0,1874.0,2800.0,3313.0,3700.0,4071.0,4425.0
16025.0,1877.0,2805.0,3319.0,3708.0,4078.0,4433.0
16075.0,1880.0,2810.0,3326.0,3715.0,4086.0,4442.0
16125.0,1883.0,2815.0,3332.0,3722.0,4094.0,4450.0
16175.0,1886.0,2820.0,3339.0,3729.0,4102.0,4459.0
16225.0,1889.0,2825.0,3345.0,3736.0,4110.0,4468.0
16275.0,1893.0,2830.0,3352.0,3744.0,4118.0,4476.0
16325.0,1896.0,2835.0,3358.0,3751.0,4126.0,4485.0
16375.0,1899.0,2840.0,3364.0,3758.0,4134.0,4493.0
16425.0,1902.0,2845.0,3371.0,3765.0,4142.0,4502.0
16475.0,1905.0,2850.0,3377.0,3772.0,4150.0,4511.0
16525.0,1908.0,2855.0,3384.0,3780.0,4158.0,4519.0
16575.0,1911.0,2860.0,3390.0,3787.0,4165.0,4528.0
16625.0,1914.0,2865.0,3397.0,3794.0,4173.0,4536.0
16675.0,1917.0,2870.0,3403.0,3801.0,4181.0,4545.0
16725.0,1921.0,2875.0,3409.0,3808.0,4189.0,4554.0
16775.0,1924.0,2880.0,3416.0,3816.0,4197.0,4562.0
16825.0,1927.0,2885.0,3422.0,3823.0,4205.0,4571.0
16875.0,1930.0,2890.0,3429.0,3830.0,4213.0,4579.0
16925.0,1933.0,2895.0,3435.0,3837.0,4221.0,4588.0
16975.0,1936.0,2900.0,3442.0,3844.0,4229.0,4597.0
17025.0,1939.0,2905.0,3448.0,3852.0,4237.0,4605.0
17075.0,1942.0,2910.0,3455.0,3859.0,4245.0,4614.0
17125.0,1946.0,2916.0,3461.0,3866.0,4253.0,4622.0
17175.0,1949.0,2921.0,3467.0,3873.0,4260.0,4631.0
17225.0,1952.0,2926.0,3474.0,3880.0,4268.0,4640.0
17275.0,1955.0,2931.0,3480.0,3888.0,4276.0,4648.0
17325.0,1958.0,2936.0,3487.0,3895.0,4284.0,4657.0
17375.0,1961.0,2941.0,3493.0,3902.0,4292.0,4665.0
17425.0,1964.0,2946.0,3500.0,3909.0,4300.0,4674.0
17475.0,1967.0,2951.0,3506.0,3916.0,4308.0,4683.0
17525.0,1971.0,2956.0,3513.0,3923.0,4316.0,4691.0
17575.0,1974.0,2961.0,3519.0,3931.0,4324.0,4700.0
17625.0,1977.0,2966.0,3525.0,3938.0,4332.0,4709.0
17675.0,1980.0,2971.0,3532.0,3945.0,4340.0,4717.0
17725.0,1983.0,2976.0,3538.0,3952.0,4347.0,4726.0
17775.0,1986.0,2981.0,3545.0,3959.0,4355.0,4734.0
17825.0,1989.0,2986.0,3551.0,3967.0,4363.0,4743.0
17875.0,1992.0,2991.0,3558.0,3974.0,4371.0,4752.0
17925.0,1996.0,2996.0,3564.0,3981.0,4379.0,4760.0
17975.0,1999.0,3001.0,3570.0,3988.0,4387.0,4769.0
18025.0,2002.0,3006.0,3577.0,3995.0,4395.0,4777.0
18075.0,2005.0,3011.0,3583.0,4003.0,4403.0,4786.0
18125.0,2008.0,3016.0,3590.0,4010.0,4411.0,4795.0
18175.0,2011.0,3021.0,3596.0,4017.0,4419.0,4803.0
18225.0,2014.0,3026.0,3603.0,4024.0,4427.0,4812.0
18275.0,2017.0,3032.0,3609.0,4031.0,4435.0,4820.0
18325.0,2021.0,3037.0,3616.0,4039.0,4442.0,4829.0
18375.0,2024.0,3042.0,3622.0,4046.0,4450.0,4838.0
18425.0,2027.0,3047.0,3628.0,4053.0,4458.0,4846.0
18475.0,2030.0,3052.0,3635.0,4060.0,4466.0,4855.0
18525.0,2033.0,3057.0,3641.0,4067.0,4474.0,4863.0
18575.0,2035.0,3059.0,3644.0,4071.0,4478.0,4867.0
18625.0,2036.0,3060.0,3644.0,4071.0,4478.0,4868.0
18675.0,2037.0,3061.0,3645.0,4071.0,4478.0,4868.0
18725.0,2037.0,3061.0,3645.0,4071.0,4478.0,4868.0
18775.0,2038.0,3062.0,3645.0,4071.0,4478.0,4868.0
18825.0,2039.0,3063.0,3645.0,4071.0,4479.0,4868.0
18875.0,2040.0,3064.0,3645.0,4072.0,4479.0,4868.0
18925.0,2041.0,3064.0,3645.0,4072.0,4479.0,4869.0
18975.0,2042.0,3065.0,3645.0,4072.0,4479.0,4869.0
19025.0,2042.0,3066.0,3645.0,4072.0,4479.0,4869.0
19075.0,2043.0,3066.0,3646.0,4072.0,4479.0,4869.0
19125.0,2044.0,3067.0,3646.0,4072.0,4479.0,4869.0
19175.0,2045.0,3068.0,3646.0,4072.0,4480.0,4869.0
19225.0,2046.0,3068.0,3646.0,4072.0,4480.0,4869.0
19275.0,2047.0,3069.0,3646.0,4073.0,4480.0,4870.0
19325.0,2047.0,3070.0,3646.0,4073.0,4480.0,4870.0
19375.0,2048.0,3070.0,3646.0,4073.0,4480.0,4870.0
19425.0,2049.0,3071.0,3646.0,4073.0,4480.0,4870.0
19475.0,2050.0,3072.0,3646.0,4073.0,4480.0,4870.0
19525.0,2051.0,3072.0,3647.0,4073.0,4481.0,4870.0
19575.0,2051.0,3073.0,3647.0,4073.0,4481.0,4871.0
19625.0,2052.0,3074.0,3647.0,4074.0,4481.0,4871.0
19675.0,2053.0,3074.0,3647.0,4074.0,4481.0,4871.0
19725.0,2054.0,3075.0,3647.0,4074.0,4481.0,4871.0
19775.0,2055.0,3076.0,3647.0,4074.0,4481.0,4871.0
19825.0,2056.0,3076.0,3647.0,4074.0,4481.0,4871.0
19875.0,2056.0,3077.0,3647.0,4074.0,4482.0,4871.0
19925.0,2057.0,3078.0,3648.0,4074.0,4482.0,4872.0
19975.0,2058.0,3078.0,3648.0,4074.0,4482.0,4872.0
20025.0,2059.0,3079.0,3648.0,4075.0,4482.0,4872.0
20075.0,2060.0,3080.0,3648.0,4075.0,4482.0,4872.0
20125.0,2061.0,3080.0,3648.0,4075.0,4482.0,4872.0
20175.0,2061.0,3081.0,3648.0,4075.0,4482.0,4872.0
20225.0,2062.0,3082.0,3648.0,4075.0,4483.0,4873.0
